Generation;Generation max fitness;Global max fitness
10;84301;84308
20;84416;84415
30;84544;84544
40;84601;84598
50;84679;84679
60;84736;84733
70;84769;84764
80;84867;84867
90;84900;84895
100;84987;84977
110;85013;85013
120;85082;85082
130;85159;85148
140;85267;85249
150;85352;85350
160;85437;85437
170;85527;85496
180;85589;85589
190;85625;85624
200;85731;85729
210;85794;85787
220;85838;85831
230;85864;85864
240;85952;85951
250;86009;85989
260;86032;86032
270;86037;86036
280;86095;86095
290;86164;86152
300;86201;86201
310;86250;86249
320;86304;86299
330;86378;86373
340;86413;86413
350;86455;86454
360;86508;86503
370;86545;86542
380;86578;86577
390;86631;86621
400;86643;86643
410;86676;86676
420;86708;86705
430;86754;86743
440;86762;86762
450;86783;86783
460;86820;86807
470;86863;86863
480;86878;86878
490;86913;86911
500;86926;86926
510;86987;86986
520;87025;87024
530;87034;87031
540;87056;87056
550;87109;87105
560;87136;87126
570;87168;87168
580;87198;87198
590;87224;87215
600;87271;87269
610;87292;87291
620;87314;87313
630;87327;87320
640;87366;87359
650;87422;87421
660;87440;87440
670;87474;87473
680;87480;87480
690;87489;87488
700;87511;87510
710;87517;87517
720;87536;87536
730;87554;87554
740;87600;87598
750;87608;87608
760;87636;87636
770;87639;87636
780;87650;87650
790;87681;87681
800;87692;87691
810;87734;87734
820;87748;87748
830;87769;87762
840;87794;87793
850;87807;87807
860;87833;87833
870;87840;87840
880;87858;87858
890;87863;87863
900;87866;87866
910;87870;87870
920;87875;87870
930;87887;87887
940;87896;87896
950;87919;87919
960;87926;87926
970;87930;87930
980;87933;87933
990;87938;87938
1000;87964;87963
1010;87974;87973
1020;88000;88000
1030;88037;88037
1040;88068;88064
1050;88078;88074
1060;88111;88099
1070;88128;88125
1080;88145;88141
1090;88148;88148
1100;88167;88167
1110;88197;88195
1120;88215;88215
1130;88231;88231
1140;88253;88249
1150;88263;88262
1160;88286;88286
1170;88295;88295
1180;88331;88325
1190;88358;88356
1200;88360;88360
1210;88360;88360
1220;88371;88371
1230;88378;88378
1240;88385;88383
1250;88385;88385
1260;88417;88417
1270;88439;88438
1280;88446;88446
1290;88453;88453
1300;88474;88474
1310;88483;88480
1320;88511;88507
1330;88516;88515
1340;88526;88526
1350;88537;88536
1360;88553;88553
1370;88558;88557
1380;88568;88568
1390;88583;88583
1400;88597;88597
1410;88614;88614
1420;88645;88642
1430;88654;88654
1440;88672;88672
1450;88689;88689
1460;88708;88708
1470;88720;88720
1480;88757;88756
1490;88764;88764
1500;88783;88779
1510;88793;88793
1520;88799;88795
1530;88801;88801
1540;88812;88811
1550;88817;88817
1560;88828;88828
1570;88834;88834
1580;88841;88841
1590;88856;88856
1600;88862;88862
1610;88869;88869
1620;88877;88877
1630;88896;88884
1640;88901;88901
1650;88912;88911
1660;88925;88924
1670;88943;88943
1680;88948;88948
1690;88954;88954
1700;88966;88964
1710;88974;88974
1720;88985;88985
1730;88997;88997
1740;89007;89005
1750;89010;89010
1760;89015;89015
1770;89029;89028
1780;89033;89033
1790;89049;89049
1800;89058;89058
1810;89071;89069
1820;89074;89074
1830;89097;89096
1840;89099;89099
1850;89102;89102
1860;89118;89118
1870;89123;89123
1880;89128;89128
1890;89145;89135
1900;89155;89155
1910;89180;89180
1920;89199;89199
1930;89205;89205
1940;89219;89213
1950;89221;89221
1960;89229;89225
1970;89231;89231
1980;89233;89233
1990;89244;89244
2000;89250;89250
2010;89259;89259
2020;89270;89270
2030;89281;89281
2040;89292;89291
2050;89296;89295
2060;89304;89303
2070;89305;89305
2080;89319;89319
2090;89320;89320
2100;89333;89332
2110;89347;89346
2120;89368;89367
2130;89372;89371
2140;89376;89376
2150;89386;89386
2160;89387;89387
2170;89393;89393
2180;89395;89395
2190;89401;89398
2200;89411;89408
2210;89418;89416
2220;89424;89424
2230;89426;89425
2240;89434;89434
2250;89438;89438
2260;89447;89446
2270;89452;89452
2280;89471;89471
2290;89481;89481
2300;89487;89487
2310;89500;89500
2320;89508;89508
2330;89514;89514
2340;89517;89516
2350;89523;89520
2360;89533;89533
2370;89533;89533
2380;89534;89533
2390;89538;89538
2400;89547;89547
2410;89556;89556
2420;89562;89561
2430;89564;89563
2440;89564;89564
2450;89581;89581
2460;89592;89591
2470;89593;89593
2480;89598;89598
2490;89600;89600
2500;89602;89602
2510;89610;89610
2520;89611;89611
2530;89635;89634
2540;89639;89639
2550;89641;89641
2560;89644;89644
2570;89650;89648
2580;89650;89650
2590;89653;89652
2600;89667;89666
2610;89682;89682
2620;89686;89686
2630;89690;89690
2640;89695;89694
2650;89697;89697
2660;89698;89698
2670;89705;89705
2680;89723;89723
2690;89730;89730
2700;89731;89731
2710;89734;89731
2720;89738;89737
2730;89740;89740
2740;89749;89749
2750;89752;89752
2760;89756;89756
2770;89764;89764
2780;89770;89770
2790;89778;89777
2800;89791;89791
2810;89795;89795
2820;89810;89810
2830;89810;89810
2840;89817;89817
2850;89817;89817
2860;89824;89824
2870;89824;89824
2880;89824;89824
2890;89831;89830
2900;89847;89835
2910;89860;89852
2920;89860;89860
2930;89869;89869
2940;89870;89869
2950;89888;89888
2960;89901;89901
2970;89909;89909
2980;89916;89916
2990;89929;89929
3000;89929;89929
3010;89930;89929
3020;89933;89931
3030;89934;89934
3040;89940;89940
3050;89942;89942
3060;89949;89949
3070;89955;89950
3080;89960;89960
3090;89962;89962
3100;89967;89964
3110;89979;89976
3120;89982;89982
3130;89984;89984
3140;89997;89997
3150;90000;89999
3160;90007;90007
3170;90013;90012
3180;90024;90023
3190;90025;90025
3200;90028;90028
3210;90033;90033
3220;90040;90037
3230;90044;90043
3240;90050;90050
3250;90050;90050
3260;90058;90056
3270;90067;90065
3280;90068;90068
3290;90070;90070
3300;90086;90086
3310;90089;90089
3320;90092;90092
3330;90098;90098
3340;90103;90103
3350;90103;90103
3360;90105;90105
3370;90107;90107
3380;90116;90116
3390;90118;90118
3400;90124;90124
3410;90126;90126
3420;90129;90129
3430;90131;90131
3440;90135;90135
3450;90141;90141
3460;90151;90151
3470;90154;90154
3480;90161;90159
3490;90163;90163
3500;90166;90165
3510;90171;90171
3520;90178;90177
3530;90186;90186
3540;90186;90186
3550;90190;90190
3560;90198;90198
3570;90201;90201
3580;90213;90213
3590;90223;90220
3600;90227;90224
3610;90238;90238
3620;90241;90239
3630;90243;90243
3640;90243;90243
3650;90252;90252
3660;90255;90255
3670;90261;90260
3680;90273;90273
3690;90279;90279
3700;90294;90294
3710;90294;90294
3720;90308;90308
3730;90314;90314
3740;90314;90314
3750;90319;90319
3760;90319;90319
3770;90321;90320
3780;90324;90324
3790;90339;90339
3800;90339;90339
3810;90349;90349
3820;90351;90350
3830;90367;90359
3840;90373;90373
3850;90375;90375
3860;90380;90380
3870;90388;90388
3880;90392;90392
3890;90396;90396
3900;90405;90404
3910;90408;90408
3920;90415;90415
3930;90416;90416
3940;90417;90417
3950;90417;90417
3960;90418;90418
3970;90421;90421
3980;90421;90421
3990;90423;90423
4000;90425;90425
4010;90426;90426
4020;90436;90432
4030;90443;90440
4040;90449;90449
4050;90453;90453
4060;90468;90456
4070;90473;90473
4080;90475;90475
4090;90481;90481
4100;90490;90490
4110;90490;90490
4120;90492;90492
4130;90496;90496
4140;90498;90498
4150;90499;90499
4160;90502;90502
4170;90510;90510
4180;90518;90518
4190;90522;90522
4200;90527;90527
4210;90533;90533
4220;90550;90548
4230;90553;90553
4240;90560;90560
4250;90562;90562
4260;90576;90574
4270;90581;90581
4280;90585;90585
4290;90586;90586
4300;90588;90588
4310;90604;90602
4320;90608;90608
4330;90610;90610
4340;90614;90613
4350;90616;90616
4360;90616;90616
4370;90617;90617
4380;90626;90625
4390;90628;90628
4400;90632;90632
4410;90633;90632
4420;90637;90637
4430;90639;90639
4440;90639;90639
4450;90655;90655
4460;90657;90656
4470;90664;90664
4480;90686;90686
4490;90687;90686
4500;90696;90696
4510;90697;90697
4520;90698;90698
4530;90702;90702
4540;90707;90707
4550;90707;90707
4560;90707;90707
4570;90710;90710
4580;90714;90713
4590;90721;90715
4600;90729;90722
4610;90733;90733
4620;90735;90735
4630;90738;90738
4640;90743;90743
4650;90743;90743
4660;90749;90748
4670;90750;90750
4680;90751;90751
4690;90755;90752
4700;90758;90758
4710;90761;90761
4720;90761;90761
4730;90761;90761
4740;90762;90762
4750;90768;90768
4760;90769;90769
4770;90780;90780
4780;90783;90780
4790;90791;90791
4800;90794;90794
4810;90795;90794
4820;90795;90795
4830;90807;90807
4840;90811;90810
4850;90811;90811
4860;90824;90824
4870;90824;90824
4880;90828;90828
4890;90829;90829
4900;90830;90830
4910;90834;90834
4920;90845;90845
4930;90846;90845
4940;90847;90847
4950;90857;90855
4960;90858;90858
4970;90860;90860
4980;90861;90860
4990;90863;90861
5000;90865;90864
5010;90865;90865
5020;90867;90867
5030;90867;90867
5040;90869;90869
5050;90869;90869
5060;90872;90871
5070;90878;90878
5080;90879;90879
5090;90889;90889
5100;90891;90891
5110;90894;90894
5120;90895;90895
5130;90895;90895
5140;90896;90896
5150;90898;90897
5160;90898;90898
5170;90899;90899
5180;90901;90901
5190;90904;90904
5200;90909;90909
5210;90909;90909
5220;90912;90912
5230;90917;90917
5240;90918;90918
5250;90929;90929
5260;90930;90930
5270;90933;90933
5280;90935;90935
5290;90936;90935
5300;90943;90943
5310;90943;90943
5320;90955;90955
5330;90962;90960
5340;90969;90969
5350;90969;90969
5360;90969;90969
5370;90975;90975
5380;90977;90977
5390;90987;90987
5400;90988;90988
5410;90990;90990
5420;90990;90990
5430;90992;90992
5440;90995;90994
5450;90999;90999
5460;90999;90999
5470;91003;91001
5480;91003;91003
5490;91007;91007
5500;91017;91017
5510;91019;91019
5520;91022;91022
5530;91023;91023
5540;91031;91031
5550;91044;91044
5560;91047;91047
5570;91052;91052
5580;91053;91053
5590;91059;91059
5600;91064;91064
5610;91072;91065
5620;91076;91076
5630;91077;91077
5640;91081;91081
5650;91089;91089
5660;91093;91093
5670;91100;91100
5680;91101;91101
5690;91104;91104
5700;91104;91104
5710;91109;91105
5720;91109;91109
5730;91118;91118
5740;91120;91120
