Generation;Generation max fitness;Generation min fitness;Generation average fitness;Global max fitness
10;6342;6187;6306.733333333334;6316
20;6367;6340;6365.766666666666;6367
30;6375;6283;6371.633333333333;6375
40;6396;6359;6393.9;6396
50;6415;6269;6404.533333333334;6415
60;6457;6396;6449.666666666667;6457
70;6482;6338;6471.2;6482
80;6492;6349;6473.033333333334;6492
90;6506;6390;6491.233333333334;6506
100;6532;6483;6525.9;6532
110;6569;6397;6562.533333333334;6569
120;6575;6411;6554.166666666667;6575
130;6575;6380;6542.366666666667;6575
140;6609;6449;6590.2;6609
150;6622;6542;6611.766666666666;6622
160;6625;6607;6623.8;6625
170;6635;6605;6631.666666666667;6634
180;6708;6649;6684.933333333333;6708
190;6729;6692;6726.666666666667;6729
200;6790;6775;6789.166666666667;6790
210;6818;6750;6815.533333333334;6818
220;6825;6716;6818.966666666666;6825
230;6836;6825;6835.366666666667;6836
240;6842;6775;6835.766666666666;6842
250;6842;6784;6836.833333333333;6842
260;6848;6367;6810.033333333334;6846
270;6897;6811;6886.366666666667;6897
280;6906;6901;6901.166666666667;6901
290;6952;6755;6939.466666666666;6952
300;6991;6889;6966.933333333333;6976
310;7025;6989;7022.233333333334;7025
320;7031;6962;7022.066666666667;7027
330;7041;6941;7031.433333333333;7041
340;7041;7007;7038.633333333333;7041
350;7072;7023;7046.866666666667;7052
360;7082;6987;7069.866666666667;7082
370;7082;6679;7021.3;7082
380;7086;6724;7057.5;7086
390;7093;7092;7092.033333333334;7092
400;7093;7027;7090.666666666667;7093
410;7094;6994;7087.366666666667;7094
420;7094;6991;7075.1;7094
430;7101;6838;7072.5;7101
440;7112;6946;7088.433333333333;7106
450;7130;7034;7124.8;7130
460;7130;7056;7126.266666666666;7130
470;7142;7026;7127.2;7133
480;7149;7041;7141.2;7149
490;7154;7090;7149.3;7154
500;7172;7145;7170.633333333333;7172
510;7186;7067;7175.466666666666;7186
520;7213;7137;7206.466666666666;7213
530;7221;7140;7215.733333333334;7221
540;7229;7121;7216.766666666666;7229
550;7240;7185;7238.166666666667;7240
560;7272;7229;7254.233333333334;7264
570;7274;7250;7272.8;7274
580;7314;7159;7293.766666666666;7314
590;7314;7169;7302.9;7314
