Iteration;Score;Temperature
100;5574;5920.529220333994
200;5610;35.05266624882868
300;5756;0.2075303347768054
400;5823;0.0012286894111517733
500;5830;7.274491561439041e-06
600;5941;4.306883985257295e-08
700;5957;2.5499032483304354e-10
800;5957;1.5096776690764915e-12
900;5962;8.938090753053083e-15
1000;6070;5.291822747744787e-17
1100;6120;3.1330391206851147e-19
1200;6135;1.8549249662465738e-21
1300;6164;1.0982137464189901e-23
1400;6199;6.502006575846104e-26
1500;6242;3.8495319923100625e-28
1600;6246;2.2791266645082282e-30
1700;6315;1.3493636014063328e-32
1800;6337;7.988946630981306e-35
1900;6364;4.7298791968413695e-37
2000;6385;2.8003387993549246e-39
2100;6410;1.6579487688415854e-41
2200;6424;9.815934131743384e-44
2300;6443;5.81155248518605e-46
2400;6451;3.4407466304048694e-48
2500;6466;2.0371040965077765e-50
2600;6534;1.206073432823637e-52
2700;6537;7.140593000900879e-55
2800;6540;4.227608951234607e-57
2900;6572;2.5029682327930047e-59
3000;6582;1.481889655981873e-61
3100;6592;8.773571009551371e-64
3200;6612;5.194418352872412e-66
3300;6613;3.075370564082031e-68
3400;6622;1.8207821288002718e-70
3500;6631;1.0779993797423957e-72
3600;6654;6.38232682726678e-75
3700;6668;3.778675247455456e-77
3800;6674;2.237175721671285e-79
3900;6680;1.3245264231176648e-81
4000;6685;7.841897391172611e-84
4100;6688;4.6428182647298415e-86
4200;6688;2.7487941201033425e-88
4300;6697;1.6274315908754102e-90
4400;6701;9.635256287872501e-93
4500;6705;5.704581639775603e-95
4600;6705;3.377414228807227e-97
4700;6714;1.9996079630825006e-99
4800;6716;1.183873737464249e-101
4900;6724;7.009159055843107e-104
5000;6729;4.149793100008775e-106
5100;6734;2.4568971306942346e-108
5200;6741;1.4546131253629972e-110
5300;6742;8.612079512992984e-113
5400;6742;5.0988068404514715e-115
5500;6759;3.01876348877318e-117
5600;6762;1.7872677444559024e-119
5700;6782;1.0581570905611598e-121
5800;6782;6.264849974370951e-124
5900;6783;3.70912273342719e-126
6000;6785;2.1959969525060792e-128
6100;6790;1.300146412507666e-130
6200;6795;7.697554825964055e-133
6300;6795;4.557359827224319e-135
6400;6799;2.6981982024657893e-137
6500;6803;1.5974761299951365e-139
6600;6808;9.45790410642228e-142
6700;6808;5.599579762519003e-144
6800;6808;3.3152475605584666e-146
6900;6816;1.9628020054927404e-148
7000;6816;1.1620826627249935e-150
7100;6826;6.880144361106861e-153
7200;6830;4.073409573004933e-155
7300;6830;2.4116740403363932e-157
7400;6830;1.427838662573257e-159
7500;6830;8.453560523687576e-162
7600;6830;5.0049552096354236e-164
7700;6830;2.9631983565109384e-166
7800;6835;1.7543702455368703e-168
7900;6839;1.0386800301985572e-170
8000;6849;6.149535469367956e-173
8100;6897;3.640850443787332e-175
8200;6898;2.1555761439308914e-177
8300;6902;1.2762151546797723e-179
8400;6902;7.555869114714667e-182
8500;6902;4.4734743878687376e-184
8600;6919;2.6485335829792624e-186
8700;6919;1.5680720469064613e-188
8800;6928;9.283816373298656e-191
8900;6936;5.496510611432989e-193
9000;6936;3.254225168486489e-195
9100;6942;1.926673519957057e-197
9200;6944;1.1406926872949507e-199
9300;6949;6.753504386551063e-202
9400;6961;3.998432006022941e-204
9500;6973;2.3672833527177503e-206
9600;6973;1.401557026257568e-208
9700;6987;8.297959327922353e-211
9800;6991;4.912831067010739e-213
9900;6991;2.908655988680173e-215
10000;6992;1.7220782772880436e-217
10100;7003;1.0195614760386298e-219
10200;7009;6.036343510813572e-222
10300;7012;3.5738348139745287e-224
10400;7013;2.115899344478312e-226
10500;7034;1.2527243896269393e-228
10600;7036;7.416791353811368e-231
10700;7041;4.391132993136078e-233
10800;7042;2.5997831196234828e-235
10900;7046;1.5392091926261903e-237
11000;7046;9.112933001150055e-240
11100;7046;5.395338611625487e-242
11200;7053;3.194325990372496e-244
11300;7053;1.8912100365272705e-246
11400;7053;1.1196964283048638e-248
11500;7054;6.6291954216825606e-251
11600;7055;3.9248345201375957e-253
11700;7059;2.3237097461450194e-255
11800;7065;1.375759145162649e-257
11900;7065;8.145222219077188e-260
12000;7065;4.8224026154160245e-262
12100;7065;2.8551175596785685e-264
12200;7066;1.6903806939565647e-266
12300;7066;1.0007948292058296e-268
12400;7066;5.925235029872288e-271
12500;7068;3.5080527131705472e-273
12600;7068;2.0769528594798188e-275
12700;7071;1.2296660093806527e-277
12800;7073;7.280273539789656e-280
12900;7075;4.310307222434909e-282
13000;7087;2.551929985904254e-284
13100;7098;1.5108776049792658e-286
13200;7098;8.945195008627997e-289
13300;7109;5.2960288430167865e-291
13400;7113;3.13552935168125e-293
13500;7113;1.8563993147843751e-295
13600;7113;1.0990866387788909e-297
13700;7134;6.507174560569105e-300
13800;7134;3.852591712766341e-302
13900;7134;2.280938180944975e-304
14000;7134;1.3504361150060205e-306
14100;7137;7.99529647908747e-309
14200;7149;4.733638642967e-311
14300;7152;2.80256459037e-313
14400;7152;1.65926655e-315
14500;7152;9.823735e-318
14600;7168;5.815e-320
14700;7173;3.4e-322
14800;7178;4.4e-323
14900;7178;4.4e-323
15000;7181;4.4e-323
15100;7181;4.4e-323
15200;7181;4.4e-323
15300;7181;4.4e-323
15400;7182;4.4e-323
15500;7183;4.4e-323
15600;7184;4.4e-323
15700;7186;4.4e-323
15800;7189;4.4e-323
15900;7190;4.4e-323
16000;7190;4.4e-323
16100;7190;4.4e-323
16200;7193;4.4e-323
16300;7193;4.4e-323
16400;7193;4.4e-323
16500;7193;4.4e-323
16600;7193;4.4e-323
16700;7195;4.4e-323
16800;7195;4.4e-323
16900;7195;4.4e-323
17000;7202;4.4e-323
17100;7202;4.4e-323
17200;7202;4.4e-323
17300;7207;4.4e-323
17400;7209;4.4e-323
17500;7209;4.4e-323
17600;7219;4.4e-323
17700;7219;4.4e-323
17800;7219;4.4e-323
17900;7219;4.4e-323
18000;7219;4.4e-323
18100;7222;4.4e-323
18200;7223;4.4e-323
18300;7225;4.4e-323
18400;7225;4.4e-323
18500;7229;4.4e-323
18600;7229;4.4e-323
18700;7229;4.4e-323
18800;7229;4.4e-323
18900;7229;4.4e-323
19000;7233;4.4e-323
19100;7234;4.4e-323
19200;7234;4.4e-323
19300;7237;4.4e-323
19400;7238;4.4e-323
19500;7238;4.4e-323
19600;7238;4.4e-323
19700;7238;4.4e-323
19800;7238;4.4e-323
19900;7238;4.4e-323
20000;7239;4.4e-323
20100;7242;4.4e-323
20200;7242;4.4e-323
20300;7242;4.4e-323
20400;7242;4.4e-323
20500;7247;4.4e-323
20600;7247;4.4e-323
20700;7249;4.4e-323
20800;7251;4.4e-323
20900;7254;4.4e-323
21000;7258;4.4e-323
21100;7258;4.4e-323
21200;7258;4.4e-323
21300;7258;4.4e-323
21400;7258;4.4e-323
21500;7258;4.4e-323
21600;7258;4.4e-323
21700;7259;4.4e-323
21800;7260;4.4e-323
21900;7260;4.4e-323
22000;7261;4.4e-323
22100;7262;4.4e-323
22200;7264;4.4e-323
22300;7265;4.4e-323
22400;7265;4.4e-323
22500;7265;4.4e-323
22600;7267;4.4e-323
22700;7267;4.4e-323
22800;7267;4.4e-323
22900;7267;4.4e-323
23000;7267;4.4e-323
23100;7269;4.4e-323
23200;7269;4.4e-323
23300;7269;4.4e-323
23400;7270;4.4e-323
23500;7273;4.4e-323
23600;7274;4.4e-323
23700;7290;4.4e-323
23800;7293;4.4e-323
23900;7293;4.4e-323
24000;7293;4.4e-323
24100;7293;4.4e-323
24200;7293;4.4e-323
24300;7293;4.4e-323
24400;7294;4.4e-323
24500;7295;4.4e-323
24600;7295;4.4e-323
24700;7295;4.4e-323
24800;7295;4.4e-323
24900;7296;4.4e-323
25000;7296;4.4e-323
25100;7296;4.4e-323
25200;7299;4.4e-323
25300;7302;4.4e-323
25400;7302;4.4e-323
25500;7302;4.4e-323
25600;7302;4.4e-323
25700;7302;4.4e-323
25800;7302;4.4e-323
25900;7302;4.4e-323
26000;7302;4.4e-323
26100;7302;4.4e-323
26200;7302;4.4e-323
26300;7302;4.4e-323
26400;7306;4.4e-323
26500;7306;4.4e-323
26600;7306;4.4e-323
26700;7308;4.4e-323
26800;7308;4.4e-323
26900;7308;4.4e-323
27000;7308;4.4e-323
27100;7310;4.4e-323
27200;7310;4.4e-323
27300;7310;4.4e-323
27400;7310;4.4e-323
27500;7310;4.4e-323
27600;7311;4.4e-323
27700;7313;4.4e-323
27800;7313;4.4e-323
27900;7315;4.4e-323
28000;7315;4.4e-323
28100;7315;4.4e-323
28200;7315;4.4e-323
28300;7318;4.4e-323
28400;7328;4.4e-323
28500;7328;4.4e-323
28600;7328;4.4e-323
28700;7328;4.4e-323
28800;7329;4.4e-323
28900;7329;4.4e-323
29000;7329;4.4e-323
29100;7329;4.4e-323
29200;7329;4.4e-323
29300;7329;4.4e-323
29400;7329;4.4e-323
29500;7329;4.4e-323
29600;7329;4.4e-323
29700;7330;4.4e-323
29800;7330;4.4e-323
29900;7330;4.4e-323
30000;7330;4.4e-323
