Iteration;Score
10;5894
20;6008
30;6197
40;6241
50;6316
60;6365
70;6403
80;6421
90;6484
100;6499
110;6501
120;6520
130;6549
140;6607
150;6613
160;6662
170;6697
180;6740
190;6761
200;6773
210;6786
220;6812
230;6818
240;6835
250;6847
260;6852
270;6879
280;6916
290;6924
300;6958
310;6987
320;6996
330;7008
340;7012
350;7032
360;7037
370;7056
380;7065
390;7093
400;7124
410;7131
420;7137
430;7146
440;7167
450;7178
460;7197
470;7209
480;7223
490;7232
500;7256
510;7265
520;7271
530;7289
540;7290
550;7309
560;7311
570;7319
580;7320
590;7324
600;7324
610;7349
620;7356
630;7365
640;7365
650;7367
660;7418
670;7423
680;7423
690;7433
700;7443
710;7446
720;7449
730;7450
740;7457
750;7459
760;7478
770;7482
780;7484
790;7505
800;7510
810;7511
820;7517
830;7517
840;7517
850;7517
860;7517
870;7527
880;7529
890;7530
900;7531
910;7540
920;7547
930;7549
940;7557
950;7560
960;7570
970;7571
980;7573
990;7573
1000;7584
